provider_id,provider_name,category,city,area,full_location,latitude,longitude,rating,availability,experience_years,completed_jobs,response_time_minutes,price_range,verified_provider,languages_supported,phone_number,email,created_at
1,Daniel Plumber Services,Plumber,Peshawar,Hayatabad,"Hayatabad, Peshawar",31.364712,71.736896,4.5,Busy,8,1838,119,High,True,"Urdu, Roman Urdu",+1-814-013-8855x08422,taylordestiny@yahoo.com,2024-01-01
2,Jacob Electrician Services,Electrician,Karachi,DHA,"DHA, Karachi",29.612451,72.012137,3.4,Available,17,4941,94,High,False,Urdu,(245)750-4471x2491,williamsdavid@yahoo.com,2023-11-07
3,Abigail Mobile Repair Services,Mobile Repair,Faisalabad,Peoples Colony,"Peoples Colony, Faisalabad",26.778713,68.507196,4.7,Offline,6,3472,102,Medium,True,English,4370661044,jenniferwilliams@hunter.info,2024-03-27
4,Danielle Computer Technician Services,Computer Technician,Karachi,Gulshan,"Gulshan, Karachi",29.362281,73.81181,3.7,Available Soon,9,365,53,Low,False,"English, Urdu, Roman Urdu",8509605070,zkennedy@walker.com,2022-11-25
5,Jocelyn Beautician Services,Beautician,Islamabad,I-8,"I-8, Islamabad",33.852215,72.987224,4.4,Offline,2,1876,115,Low,False,Roman Urdu,457.650.4198,petersonwilliam@monroe-smith.com,2023-10-29
6,Julia AC Technician Services,AC Technician,Peshawar,University Town,"University Town, Peshawar",30.09131,68.197971,3.7,Available,7,2197,98,Low,True,"English, Urdu",(186)814-1510x559,shane06@hotmail.com,2024-03-28
7,Oscar Beautician Services,Beautician,Islamabad,I-8,"I-8, Islamabad",32.050458,69.808154,4.4,Available,2,1886,13,Low,False,Urdu,+1-169-292-3456x923,berryheidi@gmail.com,2022-09-10
8,Mary Home Tutor Services,Home Tutor,Rawalpindi,Chaklala,"Chaklala, Rawalpindi",31.44989,70.772841,3.9,Busy,9,1153,100,High,False,"Urdu, Roman Urdu",265-730-4243,jenniferadams@hotmail.com,2024-02-17
9,Michael AC Technician Services,AC Technician,Islamabad,F-10,"F-10, Islamabad",25.528413,68.119874,4.0,Available,3,395,92,Medium,True,"English, Urdu",309-670-8515x6286,alexisbeck@rodriguez.info,2024-03-24
10,Valerie Cleaning Service Services,Cleaning Service,Faisalabad,Peoples Colony,"Peoples Colony, Faisalabad",30.817104,70.758792,3.5,Available,18,104,39,High,False,English,132.248.6603x433,ashleyrogers@gmail.com,2024-09-20
11,Leslie Mechanic Services,Mechanic,Rawalpindi,PWD,"PWD, Rawalpindi",29.076817,67.744876,3.0,Busy,9,4110,85,Medium,True,Urdu,001-118-201-3806x089,francismadison@yates-miller.com,2024-04-09
12,William Mobile Repair Services,Mobile Repair,Lahore,Bahria Town,"Bahria Town, Lahore",28.886057,67.783074,4.8,Offline,1,4916,51,Medium,True,English,001-632-309-0493,natalie27@evans-patel.com,2025-01-06
13,Joel Electrician Services,Electrician,Faisalabad,Madina Town,"Madina Town, Faisalabad",25.283915,70.326977,4.5,Busy,3,4373,75,Low,False,"Urdu, Roman Urdu",9125060107,paulagordon@silva.info,2022-12-19
14,Kristen Cleaning Service Services,Cleaning Service,Rawalpindi,PWD,"PWD, Rawalpindi",33.951494,71.549146,4.5,Available Soon,7,2563,61,High,False,English,889-160-4960x758,james93@wilson.com,2024-12-23
15,Nathan Carpenter Services,Carpenter,Lahore,Model Town,"Model Town, Lahore",24.071908,71.954887,3.0,Busy,18,1895,12,Low,True,English,001-765-973-9422x014,kchavez@berry.info,2024-07-07
16,Julie Beautician Services,Beautician,Karachi,North Nazimabad,"North Nazimabad, Karachi",31.233526,73.176682,3.6,Busy,16,1765,78,Medium,True,"English, Urdu",+1-229-995-0921x24890,garciaheather@miller.com,2024-02-01
17,Tracy Electrician Services,Electrician,Lahore,Model Town,"Model Town, Lahore",28.670247,72.103531,4.3,Available Soon,12,3479,91,High,True,English,(855)587-1794x05627,michael02@munoz.net,2024-02-10
18,Cory Mobile Repair Services,Mobile Repair,Peshawar,University Town,"University Town, Peshawar",29.362858,67.981276,4.7,Busy,8,1579,28,Medium,False,Urdu,+1-534-748-8718x5131,leslie77@marsh.net,2025-12-11
19,William Plumber Services,Plumber,Rawalpindi,Saddar,"Saddar, Rawalpindi",33.26367,72.94087,4.3,Available,18,130,26,Medium,False,"English, Urdu",+1-615-315-9327x947,lgarcia@thompson-todd.org,2025-03-03
20,Todd AC Technician Services,AC Technician,Rawalpindi,Saddar,"Saddar, Rawalpindi",26.852492,71.876141,3.8,Available Soon,13,2182,98,High,False,Urdu,+1-360-507-2408,williamsjames@cochran.org,2025-04-21
21,Michelle Plumber Services,Plumber,Islamabad,F-10,"F-10, Islamabad",24.571653,71.089243,4.2,Offline,18,509,69,High,True,English,405-344-3493x0983,phillipsharold@campbell-jackson.biz,2023-07-09
